Region,Country,NGO_IV,Comm_Entrp_IV,Financing,Govt_support,Tax_bureaucracy,Gov_program,Basic_entrp_training,Post_entrp_training,RD,Comm_prof_infra,int_mark_dynamics,Int_markt_openness,Phy_serv_Infra,Cult_Social_norms,Socio_Entrp
Western Europe,Belgium,1.52,4.08,3.15,3.28,2.61,3.3,2.11,3.08,3.13,3.47,2.59,3.36,4.07,2.67,2.54
Western Europe,Finland,2.33,10.81,2.75,3.26,3.16,2.79,2.32,2.77,2.72,3.18,3.13,2.68,4.17,2.73,5.2
Western Europe,Germany,0.58,7.22,2.69,2.96,2.64,3.48,1.98,2.67,2.72,3.39,2.68,2.83,3.98,2.67,1.54
Western Europe,Greece,2.33,19.81,2.28,2.17,2.02,2.3,1.65,2.44,2.12,2.87,2.73,2.37,3.45,2.53,2.42
Western Europe,Iceland,3,13.16,2.05,2.85,3.63,3.24,2.14,3.76,2.98,3.19,3.56,3.1,4.55,4.18,6.61
Western Europe,Italy,0.82,7.71,2.16,2.18,1.7,2.4,1.79,2.99,2.34,2.6,3.03,2.37,2.87,2.69,2.46
Western Europe,Netherlands,0.95,12.12,2.61,2.41,2.75,2.81,2.37,3,2.39,3.36,2.71,2.96,3.89,2.63,2.3
Western Europe,Norway,0.91,12.2,2.63,2.45,2.64,2.99,2.48,2.96,2.82,3.49,2.53,2.5,4.12,2.79,3.56
Western Europe,Spain,0.37,9.24,2.2,2.69,2.34,3.06,1.73,2.65,2.42,3.06,2.5,2.68,3.67,2.45,1.09
Western Europe,Switzerland,0.82,11.83,3.24,3.16,3.21,3.45,2.51,3.43,3.49,3.83,1.84,3.19,4.65,3.26,4.78
Western Europe,United Kingdom,2.13,9.27,2.56,2.76,2.16,2.74,1.75,2.22,2.29,3.05,2.65,2.8,3.54,2.66,3.61
Eastern Europe,Bosnia and Herzegovina,0.5,5.17,2.03,1.81,1.7,1.9,2,2.36,1.72,2.68,3.36,1.92,3.06,2.31,1.39
Eastern Europe,Croatia,2.5,7.07,2.41,2.33,1.9,2.72,2.07,2.92,2.26,2.91,3.51,2.14,3.67,2.43,4.49
Eastern Europe,Hungary,0.6,10.38,2.31,1.65,1.71,2.32,2,3.17,2.33,3.31,3.14,2.5,3.72,2.31,3.28
Eastern Europe,Latvia,1.5,14.4,2.18,2.08,2.4,2.32,2.3,2.8,2.19,3.39,2.79,3.08,3.94,2.57,2.91
Eastern Europe,Russia,0.33,4.57,1.78,2.35,2.08,1.99,2.21,2.64,2.09,3.04,3.03,2.26,3.18,2.54,0.87
Eastern Europe,Serbia,2,12.91,2.14,2.53,1.95,2.54,2.13,3.22,2.48,3.07,3.09,1.85,2.77,2.42,0.86
Eastern Europe,Slovenia,1.74,7.79,2.64,2.52,2.32,2.74,2.32,2.87,2.57,3.06,2.97,2.41,3.87,2.21,3.69
Latin America,Argentina,5.17,22.81,2.09,1.75,1.81,2.22,1.93,3.37,2.42,3.06,2.88,2.54,3.78,2.91,4.56
Latin America,Brazil,0.33,21.59,2.38,2.02,1.47,2.42,1.52,2.27,2.13,2.65,3.61,2.18,3.3,2.74,0.32
Latin America,Chile,1.13,12.46,2.52,2.89,2.5,2.75,1.57,2.75,2.32,2.47,2.54,2.4,4.09,3.01,3.33
Latin America,Colombia,0.53,20.49,2.11,2.4,2.21,2.85,1.94,3.1,2.18,2.54,2.5,2.31,3.5,2.99,6.24
Latin America,Ecuador,0.23,25.81,1.94,2.35,2.06,2.08,1.6,2.99,1.89,2.84,2.42,2.1,3.11,2.82,0.61
Latin America,Guatemala,0.09,12.77,2.01,1.73,2.24,1.78,1.95,3.12,1.98,3.15,2.24,2.41,3.95,2.62,0.64
Latin America,Panama,0.07,7.73,2.34,2.65,3.16,2.86,1.63,2.76,2.27,3.01,2.73,2.57,3.93,2.77,1.9
Latin America,Peru,0.39,12.54,2.54,2.5,2.18,2.43,2.02,3.04,1.98,2.72,2.29,2.69,3.41,3.23,3.98
Latin America,Uruguay,1.54,10.15,2.36,2.47,2.45,3.18,1.75,2.85,2.59,2.95,2.19,2.46,3.92,2.2,2.68
Latin America,Venezuela,0.98,11.93,2.28,1.85,1.61,1.92,1.75,3.22,2.04,2.66,3.59,2.38,3.42,2.61,3.42
Southeast Asia,Hong Kong,0.35,5.15,2.93,2.05,4.14,2.83,2.25,3.17,2.49,3.79,3.71,2.88,4.61,3.78,1.52
Southeast Asia,Republic of Korea,0.26,16.2,2.45,3.08,2.65,3,2.03,2.47,2.53,2.4,4.25,2.58,3.99,3.08,2.18
Southeast Asia,Malaysia,0.24,7.01,3.3,2.93,2.66,2.99,2.55,3.53,2.86,3.35,3.78,2.74,3.94,3.53,0.22
MENA,Israel,1.94,6.99,2.99,2.09,2.02,2.71,2.26,3.28,2.91,3.58,2.66,2.75,3.8,3.98,1.89
MENA,Saudi Arabia,0.17,5.98,3.01,2.71,2.7,1.97,1.47,2.35,1.99,2.79,3.2,2.77,3.77,2.52,0.35
MENA,Syria,0.62,11.82,2.24,2.05,1.97,1.66,1.56,2.21,1.82,2.97,3.08,2.43,3.08,3.04,1.38
MENA,United Arab Emirates,2.17,13.09,3.02,3.39,3.34,2.71,2.39,3.3,2.38,3.6,3.62,2.85,4.14,3.04,5.88
Caribbean,Dominican Republic,1.75,20.58,1.81,1.87,2.78,2.28,1.6,3,1.77,2.78,2.62,2.27,3.75,2.92,2.72
Caribbean,Jamaica,1.25,26.91,2.23,2.19,2.08,2.6,2.03,2.81,1.86,2.78,2.79,2.65,3.58,3.1,8.29
Africa,South Africa,0.51,3.9,2.41,2.78,2.26,2.13,2.18,2.86,2.04,2.91,2.76,2.45,3.15,2.7,1.94
Africa,Uganda,1.46,44.68,2.43,2.53,1.94,2.33,2.1,3.18,2.01,3.19,3.79,2.57,3.13,3.23,4.46
USA,United States,2.79,9.03,2.72,2.37,2.11,2.48,1.9,2.66,2.33,3.23,3.22,2.49,3.84,3.85,4.06
